-0.01181912567360011-0.231439273045873i,-0.01181912567360011+0.231439273045873i,0.05132463673309871-0.252765218091738i,0.05132463673309871+0.252765218091738i,0.3425282384195681-0.1016746372588764i,0.3425282384195681+0.1016746372588764i,0.1958373245026769-0.2414777728939771i,0.1958373245026769+0.2414777728939771i,-0.2787862034497061+0i,-0.04432839042533774-0.2102059519796105i,-0.04432839042533774+0.2102059519796105i,-0.07576835697253566-0.1784667972979654i,-0.07576835697253566+0.1784667972979654i,-0.0790077183386915-0.1572212272787473i,-0.0790077183386915+0.1572212272787473i,-0.0580267988340251-0.1463106604952951i,-0.0580267988340251+0.1463106604952951i,-0.03598153649162874-0.193649658174144i,-0.03598153649162874+0.193649658174144i,0.127631627446701+0.2072205521452113i,0.127631627446701-0.2072205521452113i,0.2268190072957288+0.1279836393468568i,0.2268190072957288-0.1279836393468568i,0.260756825915042+0i
-0.1274696872457439-0.2730047179686982i,-0.1274696872457439+0.2730047179686982i,0.03373669122152206-0.2544715662323527i,0.03373669122152206+0.2544715662323527i,0.1831966648313176-0.03486332607210543i,0.1831966648313176+0.03486332607210543i,0.1581310736363389-0.1569436029024248i,0.1581310736363389+0.1569436029024248i,-0.1500898419637336+0i,-0.261748830051251-0.1955749094688357i,-0.261748830051251+0.1955749094688357i,-0.3368368744697267-0.03743683759239402i,-0.3368368744697267+0.03743683759239402i,-0.3184414953428761+0.1143689174207024i,-0.3184414953428761-0.1143689174207024i,-0.2401256124418371+0.236613365602933i,-0.2401256124418371-0.236613365602933i,-0.04407788387477147+0.3034142545770613i,-0.04407788387477147-0.3034142545770613i,-0.07551251618412619-0.2445291256665054i,-0.07551251618412619+0.2445291256665054i,-0.1924884851242308-0.1451076973709235i,-0.1924884851242308+0.1451076973709235i,-0.2361179598529145+0i
-0.03510874460847289-0.05471615795139467i,-0.03510874460847289+0.05471615795139467i,0.05441290896871386-0.09126815594053277i,0.05441290896871386+0.09126815594053277i,-0.009462102235066329+0.02951312771194689i,-0.009462102235066329-0.02951312771194689i,0.07253553344781846+0.01241805575480009i,0.07253553344781846-0.01241805575480009i,-0.01504847592482167+0i,-0.01567278356840236-0.07164981157998779i,-0.01567278356840236+0.07164981157998779i,-0.08725027824843488-0.07291187905391754i,-0.08725027824843488+0.07291187905391754i,-0.1192891327496372-0.01348523478480432i,-0.1192891327496372+0.01348523478480432i,-0.1146410795498508+0.04464459099883283i,-0.1146410795498508-0.04464459099883283i,-0.06809500055278989+0.1009569449778666i,-0.06809500055278989-0.1009569449778666i,0.009021111074695229-0.1180049661782259i,0.009021111074695229+0.1180049661782259i,-0.08765908798138476-0.09331409084673307i,-0.08765908798138476+0.09331409084673307i,-0.1296574218154752+0i
-0.1289625899491766+0.06768784407586621i,-0.1289625899491766-0.06768784407586621i,-0.1055140968977358-0.1023118825170256i,-0.1055140968977358+0.1023118825170256i,0.08436760582741423-0.03212682592421702i,0.08436760582741423+0.03212682592421702i,0.03234109345094643-0.105492097726721i,0.03234109345094643+0.105492097726721i,-0.051048520753563+0i,-0.03234049674883795+0.1068736375447113i,-0.03234049674883795-0.1068736375447113i,0.03156700698173239+0.06427188087120149i,0.03156700698173239-0.06427188087120149i,0.02532168357452583+0.04811569479184605i,0.02532168357452583-0.04811569479184605i,0.04863773657353786+0.05547844597308727i,0.04863773657353786-0.05547844597308727i,0.1143503435093243-0.0007656979091861617i,0.1143503435093243+0.0007656979091861617i,-0.0675446963775381+0.08860074124906241i,-0.0675446963775381-0.08860074124906241i,0.0577632928036894+0.0914474253080228i,0.0577632928036894-0.0914474253080228i,0.1078347187402081+0i
0.1879620302870406+0.1066137710268073i,0.1879620302870406-0.1066137710268073i,0.1075802262449876+0.2041909863790192i,0.1075802262449876-0.2041909863790192i,-0.2917312140303339+0.1347935501026026i,-0.2917312140303339-0.1347935501026026i,-0.0626137929606458+0.2595509847667989i,-0.0626137929606458-0.2595509847667989i,0.1833070088609484+0i,0.1962743959556571+0.02227649096955394i,0.1962743959556571-0.02227649096955394i,0.166835000466717-0.06017202795785633i,0.166835000466717+0.06017202795785633i,0.1205475276569169-0.08939153414534186i,0.1205475276569169+0.08939153414534186i,0.09540507246559173-0.09188164860267149i,0.09540507246559173+0.09188164860267149i,0.1058131006158274-0.1325169946869226i,0.1058131006158274+0.1325169946869226i,-0.01671611498616402+0.1994997203505034i,-0.01671611498616402-0.1994997203505034i,0.1559893001526614+0.1514340866149495i,0.1559893001526614-0.1514340866149495i,0.2161814946452436+0i
0.2785766440686244+0.03646370614158022i,0.2785766440686244-0.03646370614158022i,0.120732169515021+0.1954132242533561i,0.120732169515021-0.1954132242533561i,-0.1585522872846267+0.0547216283538399i,-0.1585522872846267-0.0547216283538399i,-0.06461124968256847+0.1800868631936798i,-0.06461124968256847-0.1800868631936798i,0.09868680605547897+0i,0.2465560527481069-0.171681332036248i,0.2465560527481069+0.171681332036248i,0.05123645791716719-0.3057528298837994i,0.05123645791716719+0.3057528298837994i,-0.1426935080491487-0.2508415126601338i,-0.1426935080491487+0.2508415126601338i,-0.2608826507408927-0.1114543559673649i,-0.2608826507408927+0.1114543559673649i,-0.2223797959051196+0.1422257137899119i,-0.2223797959051196-0.1422257137899119i,0.06943641422303275-0.1987422826247504i,0.06943641422303275+0.1987422826247504i,-0.1246397469741164-0.1579793426068563i,-0.1246397469741164+0.1579793426068563i,-0.1957545436997289+0i
0.06062127787514032-0.0002122564584398739i,0.06062127787514032+0.0002122564584398739i,0.01398534666015505+0.09404812571343199i,0.01398534666015505-0.09404812571343199i,0.004605554635948645-0.02749280723656929i,0.004605554635948645+0.02749280723656929i,-0.06082019300393088+0.01716936656446488i,-0.06082019300393088-0.01716936656446488i,0.009894647136628064+0i,0.06706449049154861+0.007101612285128824i,0.06706449049154861-0.007101612285128824i,0.07100828659348077-0.07599998899471851i,0.07100828659348077+0.07599998899471851i,-0.006122766558609041-0.1022077104273984i,-0.006122766558609041+0.1022077104273984i,-0.07135336696707271-0.07501660722325837i,-0.07135336696707271+0.07501660722325837i,-0.10409215478611+0.01253692959375581i,-0.10409215478611-0.01253692959375581i,0.06360183230555279-0.07370675494603576i,0.06360183230555279+0.07370675494603576i,-0.05098568581840326-0.09393057608312198i,-0.05098568581840326+0.09393057608312198i,-0.1074930067182621+0i
0.01134645288258601-0.1353375379326731i,0.01134645288258601+0.1353375379326731i,0.13104330795105+0.01113358727718306i,0.13104330795105-0.01113358727718306i,-0.07093985725622759+0.03950571445338338i,-0.07093985725622759-0.03950571445338338i,0.01389912182763054+0.09372958934363271i,0.01389912182763054-0.09372958934363271i,0.03356533261087234+0i,-0.08387677699947857-0.0592109951557953i,-0.08387677699947857+0.0592109951557953i,-0.06029946139328531+0.02557932338246856i,-0.06029946139328531-0.02557932338246856i,-0.03672500512335593+0.02831706215004706i,-0.03672500512335593-0.02831706215004706i,-0.02767471596238808+0.05557942706851157i,-0.02767471596238808-0.05557942706851157i,0.0649162333780889+0.07402069475767238i,0.0649162333780889-0.07402069475767238i,-0.08798082342816779+0.02566155942253471i,-0.08798082342816779-0.02566155942253471i,0.02724405297476159+0.08608343076131229i,0.02724405297476159-0.08608343076131229i,0.0894008070166617+0i
-0.1779948577021473+0.09445019756997276i,-0.1779948577021473-0.09445019756997276i,-0.1901685724095204-0.08054953563727274i,-0.1901685724095204+0.08054953563727274i,0.2422347127862654-0.1577033348402733i,0.2422347127862654+0.1577033348402733i,-0.04734349599109442-0.2243461267169425i,-0.04734349599109442+0.2243461267169425i,-0.1205276985796378+0i,-0.07635415029859639+0.164803800970253i,-0.07635415029859639-0.164803800970253i,0.04651581741682549+0.1554220275761731i,0.04651581741682549-0.1554220275761731i,0.09275073941808443+0.08821254345253034i,0.09275073941808443-0.08821254345253034i,0.1019951658034635+0.04496147750322066i,0.1019951658034635-0.04496147750322066i,0.14588847209251-0.005758080066484758i,0.14588847209251+0.005758080066484758i,-0.1084952748586865+0.1238935093716786i,-0.1084952748586865-0.1238935093716786i,0.09382911135685547+0.1553467835549367i,0.09382911135685547-0.1553467835549367i,0.1792261370840519+0i
-0.1681990238121124+0.2008575829846106i,-0.1681990238121124-0.2008575829846106i,-0.1943099592603255-0.06702004712339579i,-0.1943099592603255+0.06702004712339579i,0.1340486868115729-0.06921029710178599i,0.1340486868115729+0.06921029710178599i,-0.01643901679432975-0.1634800326976961i,-0.01643901679432975+0.1634800326976961i,-0.0648883732703583+0i,0.07830724231626317+0.2649227172264881i,0.07830724231626317-0.2649227172264881i,0.2766642232514954+0.06226738222268206i,0.2766642232514954-0.06226738222268206i,0.1898951961971192-0.1566027151879418i,0.1898951961971192+0.1566027151879418i,0.003517476401714278-0.2387114524354054i,0.003517476401714278+0.2387114524354054i,-0.2178759430937679-0.06466772456788443i,-0.2178759430937679+0.06466772456788443i,0.1430231319353838-0.09764498463194284i,0.1430231319353838+0.09764498463194284i,-0.0671298099891849-0.1539830208944905i,-0.0671298099891849+0.1539830208944905i,-0.1622910912958917+0i
