-0.3416029019523312+0i,0.3183375334620697+0.1059715865368713i,0.3183375334620697-0.1059715865368713i,0.01862242215798429+0.3560104668592772i,0.01862242215798429-0.3560104668592772i,0.06828371165214095+0.2658130030564465i,0.06828371165214095-0.2658130030564465i,-0.07630179991205378+0.2273960830062245i,-0.07630179991205378-0.2273960830062245i,0.2491946365187576-0.1015390529143681i,0.2491946365187576+0.1015390529143681i,-0.04636180282329443-0.3257707951310506i,-0.04636180282329443+0.3257707951310506i,-0.03655098105156621+0.1537897355944133i,-0.03655098105156621-0.1537897355944133i,0.006846003785242447+0.1846917597110941i,0.006846003785242447-0.1846917597110941i,-0.04231123000548632+0.1406236502414823i,-0.04231123000548632-0.1406236502414823i,0.09326168052651441+0i,-0.05910536499701565+0.06576642547518864i,-0.05910536499701565-0.06576642547518864i,-0.04030776706923491-0.01052551177047615i,-0.04030776706923491+0.01052551177047615i
-0.2080030586362505+0i,0.1830348994917073+0.072504780704781i,0.1830348994917073-0.072504780704781i,0.01056430754768666+0.1624306179750644i,0.01056430754768666-0.1624306179750644i,0.04613780513793209+0.1971895873064647i,0.04613780513793209-0.1971895873064647i,-0.02602152517433545+0.1920875932855487i,-0.02602152517433545-0.1920875932855487i,0.1215940673857456-0.007144263750632224i,0.1215940673857456+0.007144263750632224i,0.0006875165475472869+0.07514196681622073i,0.0006875165475472869-0.07514196681622073i,0.06925246404806656-0.1538693879755979i,0.06925246404806656+0.1538693879755979i,0.06936854235980427-0.1032560542474095i,0.06936854235980427+0.1032560542474095i,-0.0614145244789217-0.06090787383173534i,-0.0614145244789217+0.06090787383173534i,0.02557527802713164+0i,0.01131255353913738-0.0245603242884991i,0.01131255353913738+0.0245603242884991i,0.01034591048733813+0.0003995434151210232i,0.01034591048733813-0.0003995434151210232i
-0.08219573711846781+0i,0.05627236622991259+0.035801360858476i,0.05627236622991259-0.035801360858476i,0.01048081841558612+0.02460750016414183i,0.01048081841558612-0.02460750016414183i,0.03855004109522799+0.05967152359924511i,0.03855004109522799-0.05967152359924511i,0.03544431596508366+0.07573822203747281i,0.03544431596508366-0.07573822203747281i,-0.1604027687652113+0.09454671395257748i,-0.1604027687652113-0.09454671395257748i,0.01868221815764045+0.1899829464901253i,0.01868221815764045-0.1899829464901253i,0.0543287460150149-0.1779927263597005i,0.0543287460150149+0.1779927263597005i,0.08184653345076146-0.1350223305645927i,0.08184653345076146+0.1350223305645927i,0.003594225639228169-0.1564067545569627i,0.003594225639228169+0.1564067545569627i,-0.005961485225410984+0i,0.03417641161380631-0.04726274720578838i,0.03417641161380631+0.04726274720578838i,0.02410571478140391+0.004194018529487501i,0.02410571478140391-0.004194018529487501i
0.03040091846329502+0i,-0.06647440956750739+0.04045353949727874i,-0.06647440956750739-0.04045353949727874i,-0.01439720353676704+0.1130610170332236i,-0.01439720353676704-0.1130610170332236i,-0.09345088835120381+0.1692696762182064i,-0.09345088835120381-0.1692696762182064i,-0.1424404974942595+0.1667662305463827i,-0.1424404974942595-0.1667662305463827i,-0.172676548862039-0.1024125126285067i,-0.172676548862039+0.1024125126285067i,-0.05086617940573188-0.1194142406239401i,-0.05086617940573188+0.1194142406239401i,0.2561037724382492-0.08944961108969091i,0.2561037724382492+0.08944961108969091i,0.2892851975556812-0.02480105431200605i,0.2892851975556812+0.02480105431200605i,0.146452367091209-0.2420063544894969i,0.146452367091209+0.2420063544894969i,-0.07816430976100085+0i,0.07765951032706514-0.03335385157196044i,0.07765951032706514+0.03335385157196044i,0.03260704259319035+0.01683508185891932i,0.03260704259319035-0.01683508185891932i
-0.3286158251677086+0i,0.2669847250509095+0.1396841087184652i,0.2669847250509095-0.1396841087184652i,-0.2297320353537365+0.2689008895010935i,-0.2297320353537365-0.2689008895010935i,-0.1001737072135689+0.2316039334008151i,-0.1001737072135689-0.2316039334008151i,-0.1894340074735991+0.1005138633468062i,-0.1894340074735991-0.1005138633468062i,0.1393010183539303+0.2124366303857266i,0.1393010183539303-0.2124366303857266i,0.271518242474326+0.17532101012717i,0.271518242474326-0.17532101012717i,-0.1221181407142859-0.09186148840917106i,-0.1221181407142859+0.09186148840917106i,-0.1571477261894081-0.07747557112087931i,-0.1571477261894081+0.07747557112087931i,-0.1131156720610936-0.05798183546572409i,-0.1131156720610936+0.05798183546572409i,0.04416455459859887+0i,-0.01971369387385714-0.04077773927025298i,-0.01971369387385714+0.04077773927025298i,0.01250496645879249-0.009173304819284099i,0.01250496645879249+0.009173304819284099i
-0.200095187600886+0i,0.1518455363599643+0.09057500393067346i,0.1518455363599643-0.09057500393067346i,-0.1033278205111011+0.1240988323356837i,-0.1033278205111011-0.1240988323356837i,-0.07759461692980629+0.1692664770484417i,-0.07759461692980629-0.1692664770484417i,-0.1350952254049387+0.1085599753493413i,-0.1350952254049387-0.1085599753493413i,0.028688757687725+0.1113541623809523i,0.028688757687725-0.1113541623809523i,-0.0561866173573804-0.04786250133152167i,-0.0561866173573804+0.04786250133152167i,0.1095414195366906+0.1208650676704035i,0.1095414195366906-0.1208650676704035i,0.05488904138373478+0.1043722854265863i,0.05488904138373478-0.1043722854265863i,0.06144545203226368-0.0427753620039424i,0.06144545203226368+0.0427753620039424i,0.01211130612730582+0i,0.009449240418597484+0.01012714175863127i,0.009449240418597484-0.01012714175863127i,-0.002544631037392742+0.002895061323134507i,-0.002544631037392742-0.002895061323134507i
-0.07907081533582101+0i,0.04474230542744963+0.03982363806811184i,0.04474230542744963-0.03982363806811184i,-0.009263432356614679+0.02486514219494512i,-0.009263432356614679-0.02486514219494512i,-0.005616306371721268+0.0650771695274782i,-0.005616306371721268-0.0650771695274782i,-0.02362600463744422+0.07093265011762277i,-0.02362600463744422-0.07093265011762277i,-0.1167067800587114-0.1314445067472066i,-0.1167067800587114+0.1314445067472066i,-0.1529654030131085-0.1084418598203942i,-0.1529654030131085+0.1084418598203942i,0.1366858959806732+0.1169726871339274i,0.1366858959806732-0.1169726871339274i,0.07576733859758235+0.1290887710798129i,0.07576733859758235-0.1290887710798129i,0.1325988553827596+0.02748394940658352i,0.1325988553827596-0.02748394940658352i,-0.002823092380922188+0i,0.01577702771820479+0.025370153617243i,0.01577702771820479-0.025370153617243i,-0.006871615633732649+0.005979251575975694i,-0.006871615633732649-0.005979251575975694i
0.02924513477366775+0i,-0.06474287924357529+0.02631158194356715i,-0.06474287924357529-0.02631158194356715i,-0.08757365840436816+0.07152563733349042i,-0.08757365840436816-0.07152563733349042i,-0.1632798244416365+0.07032330331230298i,-0.1632798244416365-0.07032330331230298i,-0.1950126472415263+0.02048874268052218i,-0.1950126472415263-0.02048874268052218i,0.06353843717973771-0.1785646728796455i,0.06353843717973771+0.1785646728796455i,0.1213324244031279+0.03913769982742282i,0.1213324244031279-0.03913769982742282i,-0.0197977471927194+0.26149676283311i,-0.0197977471927194-0.26149676283311i,-0.1096075391340649+0.2524834530164901i,-0.1096075391340649-0.2524834530164901i,0.183167613388793+0.1624761090843936i,0.183167613388793-0.1624761090843936i,-0.03701511603278566+0i,0.0007484757199174438+0.04328670024035955i,0.0007484757199174438-0.04328670024035955i,-0.01251964537720017+0.00546713196459881i,-0.01251964537720017-0.00546713196459881i
-0.3161224917396139+0i,0.2166159104079935+0.1621923574759672i,0.2166159104079935-0.1621923574759672i,-0.3489560554639314+0.03660699485115432i,-0.3489560554639314-0.03660699485115432i,-0.2032895290104987+0.1118239003629739i,-0.2032895290104987-0.1118239003629739i,-0.1847146829193576-0.05139993412004314i,-0.1847146829193576+0.05139993412004314i,-0.1715281659442769+0.1676138417832843i,-0.1715281659442769-0.1676138417832843i,-0.3048512870007781+0.08856301601367292i,-0.3048512870007781-0.08856301601367292i,0.1286163635656633-0.0726664979504768i,0.1286163635656633+0.0726664979504768i,0.1354080609722447-0.09619237834875274i,0.1354080609722447+0.09619237834875274i,0.0670277791241206-0.08724912047203362i,0.0670277791241206+0.08724912047203362i,0.02091435487631041+0i,0.0231559078170192-0.001436053257253644i,0.0231559078170192+0.001436053257253644i,-0.0002860339956979526+0.005766491404797786i,-0.0002860339956979526-0.005766491404797786i
-0.1924879584153189+0i,0.1215993904133437+0.1021132200551197i,0.1215993904133437-0.1021132200551197i,-0.1591057155349157+0.0187343988586396i,-0.1591057155349157-0.0187343988586396i,-0.1517576631292692+0.07925596072155622i,-0.1517576631292692-0.07925596072155622i,-0.1544262284151973-0.01273921780799358i,-0.1544262284151973+0.01273921780799358i,-0.09795696049798794+0.0467900689930582i,-0.09795696049798794-0.0467900689930582i,0.07167682772621577-0.01087059556499319i,0.07167682772621577+0.01087059556499319i,-0.1494488341203907+0.05030667974267482i,-0.1494488341203907-0.05030667974267482i,-0.1117865437711347-0.001223148659126441i,-0.1117865437711347+0.001223148659126441i,0.02682258018541663+0.05899250396085697i,0.02682258018541663-0.05899250396085697i,0.005735372102454168+0i,-0.006633997260029195+0.002515300398559513i,-0.006633997260029195-0.002515300398559513i,-0.0002388906352346082-0.001414885488684636i,-0.0002388906352346082+0.001414885488684636i
-0.07606469699104104+0i,0.03394282138374528+0.04173280271958332i,0.03394282138374528-0.04173280271958332i,-0.0236472276135324+0.01156646619125289i,-0.0236472276135324-0.01156646619125289i,-0.04075139539859358+0.04411697523970594i,-0.04075139539859358-0.04411697523970594i,-0.05897738569351856+0.03146152101492301i,-0.05897738569351856-0.03146152101492301i,0.1005939443367758-0.1319809100562417i,0.1005939443367758+0.1319809100562417i,0.178918800489178-0.043668011512i,0.178918800489178+0.043668011512i,-0.1564983933887263+0.07586144876276708i,-0.1564983933887263-0.07586144876276708i,-0.1418079966298713+0.005060434938127691i,-0.1418079966298713-0.005060434938127691i,-0.04410520037639708+0.1085989736438425i,-0.04410520037639708-0.1085989736438425i,-0.001336890102024933+0i,-0.01508784999747811+0.002558431070736655i,-0.01508784999747811-0.002558431070736655i,-0.0001139254077422688-0.003389089794050222i,-0.0001139254077422688+0.003389089794050222i
0.02813329172809748+0i,-0.06117593406764472+0.01402332244748318i,-0.06117593406764472-0.01402332244748318i,-0.1118649521236206-0.008337854998522718i,-0.1118649521236206+0.008337854998522718i,-0.1582578585653191-0.04091457350294361i,-0.1582578585653191+0.04091457350294361i,-0.1390815013026006-0.10673207466171i,-0.1390815013026006+0.10673207466171i,0.176963882843938+0.02645480607602771i,0.176963882843938-0.02645480607602771i,-0.1071418595842982+0.06481555777467987i,-0.1071418595842982-0.06481555777467987i,-0.224023438369085-0.1186741716152843i,-0.224023438369085+0.1186741716152843i,-0.161246104698143-0.2051513655592839i,-0.161246104698143+0.2051513655592839i,-0.166930200556435+0.130571825886558i,-0.166930200556435-0.130571825886558i,-0.01752870100318077+0i,-0.02066659236673354-0.008041672725175803i,-0.02066659236673354+0.008041672725175803i,0.001360172435187458-0.004900527874804756i,0.001360172435187458+0.004900527874804756i
-0.3041041305075963+0i,0.1687292521983416+0.1749092392262805i,0.1687292521983416-0.1749092392262805i,-0.2761069030988512-0.2119727303786628i,-0.2761069030988512+0.2119727303786628i,-0.2107123858142065-0.03330775499717891i,-0.2107123858142065+0.03330775499717891i,-0.08815938389772696-0.147016291865311i,-0.08815938389772696+0.147016291865311i,-0.1864191733679025-0.1284895754378168i,-0.1864191733679025+0.1284895754378168i,0.1305471579164555-0.2831660875504205i,0.1305471579164555+0.2831660875504205i,0.01463852191055957+0.1420549389845109i,0.01463852191055957-0.1420549389845109i,0.0192521345387729+0.1562789188355057i,0.0192521345387729-0.1562789188355057i,0.06381451526937804+0.07068999972482924i,0.06381451526937804-0.07068999972482924i,0.009904101691226798+0i,-0.003810847176362099+0.01125633621314111i,-0.003810847176362099-0.01125633621314111i,-0.001598745553130754-0.001436597651171866i,-0.001598745553130754+0.001436597651171866i
