0.02022498864251291+0.0355065532942314i,0.02022498864251291-0.0355065532942314i,0.04719834091579986-0.01903290460999386i,0.04719834091579986+0.01903290460999386i,0.04964807537627898+0.03259404032332838i,0.04964807537627898-0.03259404032332838i,0.00858739149841169-0.08933570015640799i,0.00858739149841169+0.08933570015640799i,0.05772102730822738+0.0946426316202786i,0.05772102730822738-0.0946426316202786i,0.1948324777704815+0i,0.3558474614289713+0i,0.3558474614289713-0i,0.6373117444878467+0i,0.6373117444878467-0i,0.7235593805259551+0i,-0.7519188282255721+0i,0.7916541060266614+0i,0.7916541060266614-0i,0.8048166374553289+0i,0.8048166374553289-0i,0.8051443042415368+0i,0.8051443042415368-0i,-0.8196011331593228+0i
0.06423138956506012-0.1016459838007747i,0.06423138956506012+0.1016459838007747i,0.1250143091799026-0.01089776162653351i,0.1250143091799026+0.01089776162653351i,-0.121142395966778+0.009191581857822401i,-0.121142395966778-0.009191581857822401i,-0.06389960422206488-0.07766274888442648i,-0.06389960422206488+0.07766274888442648i,0.05150240956713485-0.1182474832271548i,0.05150240956713485+0.1182474832271548i,0.2409429015277119+0i,0.1633246715330834-0.04753440888271386i,0.1633246715330834+0.04753440888271386i,-0.02223734898451287+0.07019219366741562i,-0.02223734898451287-0.07019219366741562i,0.04066952454471096+0i,-0.02787876247045679+0i,0.005218707181137427-0.008949503376534317i,0.005218707181137427+0.008949503376534317i,0.0009723921359996473+0.002224923518327111i,0.0009723921359996473-0.002224923518327111i,-0.0008244168886288045-0.0009743213254235629i,-0.0008244168886288045+0.0009743213254235629i,7.171655701320646e-06+0i
-0.08088942168767901+0.1518475719855022i,-0.08088942168767901-0.1518475719855022i,-0.1858899060936006+0.05676107990309071i,-0.1858899060936006-0.05676107990309071i,0.198472256141756-0.08296582816966871i,0.198472256141756+0.08296582816966871i,0.2179933457185265+0.1715208943851277i,0.2179933457185265-0.1715208943851277i,-0.02646407639352286+0.2774454655376584i,-0.02646407639352286-0.2774454655376584i,0.1948321894542536+0i,-0.2560874663116555+0.1104622335511849i,-0.2560874663116555-0.1104622335511849i,0.02414309644942875-0.1332820597092658i,0.02414309644942875+0.1332820597092658i,-0.08493948499477692+0i,0.05721114883206016+0i,-0.00986753563642327+0.01793271393072146i,-0.00986753563642327-0.01793271393072146i,-0.001941589891935016-0.004051948653074678i,-0.001941589891935016+0.004051948653074678i,0.001509425287129909+0.001741231566435822i,0.001509425287129909-0.001741231566435822i,-1.497171063034409e-05+0i
0.003548474874359566-0.00414603757760884i,0.003548474874359566+0.00414603757760884i,0.001416850406387571-0.001253907045548151i,0.001416850406387571+0.001253907045548151i,0.00076868283473488+0.01051275011538572i,0.00076868283473488-0.01051275011538572i,-0.02688389822427064-0.01022973704498085i,-0.02688389822427064+0.01022973704498085i,-0.01269131949058594-0.01793794305518518i,-0.01269131949058594+0.01793794305518518i,-0.056701102198179+0i,0.005847654015335504-0.004428964482673863i,0.005847654015335504+0.004428964482673863i,0.001061940268315093+0.005320558333780057i,0.001061940268315093-0.005320558333780057i,0.004803213969126502+0i,-0.003094615415227758+0i,0.0004236699663477603-0.0009133241106406731i,0.0004236699663477603+0.0009133241106406731i,9.714156505963915e-05+0.0001580501570387234i,9.714156505963915e-05-0.0001580501570387234i,-6.128324532775465e-05-6.806943996985464e-05i,-6.128324532775465e-05+6.806943996985464e-05i,6.279918788073977e-07+0i
0.08561819224156957-0.1276966655286315i,0.08561819224156957+0.1276966655286315i,0.1514987783978225-0.01452533188781232i,0.1514987783978225+0.01452533188781232i,-0.1499738244204972+0.02162079934501323i,-0.1499738244204972-0.02162079934501323i,-0.09354818106727936-0.1037177251741171i,-0.09354818106727936+0.1037177251741171i,0.05705492095050106-0.1599561028079366i,0.05705492095050106+0.1599561028079366i,0.2596893584498541+0i,0.2043402695407999-0.06100696612489803i,0.2043402695407999+0.06100696612489803i,-0.02654340413726128+0.09017537724643579i,-0.02654340413726128-0.09017537724643579i,0.05333325380181779+0i,-0.03643648703809912+0i,0.006720748217125878-0.01164120643052216i,0.006720748217125878+0.01164120643052216i,0.001259845474915618+0.002862050283518085i,0.001259845474915618-0.002862050283518085i,-0.001062855837036683-0.001243105020376213i,-0.001062855837036683+0.001243105020376213i,1.043418441890303e-05+0i
0.1520050555940966-0.1207967978948557i,0.1520050555940966+0.1207967978948557i,0.1077530541537156+0.1639053195494579i,0.1077530541537156-0.1639053195494579i,0.02275116691286626-0.1851851709643842i,0.02275116691286626+0.1851851709643842i,0.1249690828386251+0.07644587733171017i,0.1249690828386251-0.07644587733171017i,0.07186022447047087+0.1599790460125122i,0.07186022447047087-0.1599790460125122i,0.2409427826772616+0i,0.1268871981145828+0.09217264176264597i,0.1268871981145828-0.09217264176264597i,-0.04102196634148782-0.0157476849339086i,-0.04102196634148782+0.0157476849339086i,-0.01991349901636299+0i,0.01181344946871765+0i,-0.0005243190292620652+0.003018214091541701i,-0.0005243190292620652-0.003018214091541701i,-0.0003647289106145171+0.0002291639488768514i,-0.0003647289106145171-0.0002291639488768514i,-7.334781852248752e-05-0.0001657028011602175i,-7.334781852248752e-05+0.0001657028011602175i,1.888755417267482e-07+0i
-0.2041102485456339+0.1884716306101326i,-0.2041102485456339-0.1884716306101326i,-0.2160200986467958-0.2136259477771491i,-0.2160200986467958+0.2136259477771491i,0.06497596559389356+0.3239074122932044i,0.06497596559389356-0.3239074122932044i,-0.381805801877272-0.1321982102068972i,-0.381805801877272+0.1321982102068972i,-0.2549336060760339-0.2804074934178836i,-0.2549336060760339+0.2804074934178836i,0.1948320933489347+0i,-0.2251381667404802-0.1242300043340118i,-0.2251381667404802+0.1242300043340118i,0.07853733986336556+0.01913060225866766i,0.07853733986336556-0.01913060225866766i,0.04158992193366687+0i,-0.02424286287782842+0i,0.0008872141362391417-0.00598705220936394i,0.0008872141362391417+0.00598705220936394i,0.0006597368817465119-0.0004472924827723894i,0.0006597368817465119+0.0004472924827723894i,0.0001359983234995755+0.000297574530235951i,0.0001359983234995755-0.000297574530235951i,-3.943008521742746e-07+0i
0.007615786052683394-0.004433175288586734i,0.007615786052683394+0.004433175288586734i,0.002776390821931865+0.001018870967852513i,0.002776390821931865-0.001018870967852513i,-0.01606164048089116-0.002017960365739156i,-0.01606164048089116+0.002017960365739156i,0.04188015343244915+0.001268180042167082i,0.04188015343244915-0.001268180042167082i,0.02965639338703513+0.003639132265043851i,0.02965639338703513-0.003639132265043851i,-0.05670107422909757+0i,0.006530349216588148+0.001759875663989098i,0.006530349216588148-0.001759875663989098i,-0.003207342884487937+0.0004430578820965701i,-0.003207342884487937-0.0004430578820965701i,-0.002351854311560399+0i,0.001311323731519809+0i,-2.332084763187934e-05+0.0002967957034764448i,-2.332084763187934e-05-0.0002967957034764448i,-2.517008881389045e-05+2.120276876651961e-05i,-2.517008881389045e-05-2.120276876651961e-05i,-5.626569441915781e-06-1.172400017773456e-05i,-5.626569441915781e-06+1.172400017773456e-05i,1.653904100912979e-08+0i
0.1984708996131432-0.1491353748541064i,0.1984708996131432+0.1491353748541064i,0.1323951579594722+0.1976503157533052i,0.1323951579594722-0.1976503157533052i,0.01274459647214353-0.232352047388768i,0.01274459647214353+0.232352047388768i,0.1781969225597461+0.09817930785697138i,0.1781969225597461-0.09817930785697138i,0.1087447339184526+0.2037167107136527i,0.1087447339184526-0.2037167107136527i,0.259689230352296+0i,0.1598710933114334+0.1144527474479741i,0.1598710933114334-0.1144527474479741i,-0.05277274196181875-0.01902476772891868i,-0.05277274196181875+0.01902476772891868i,-0.02611419014634326+0i,0.01543973118958644+0i,-0.0006632889915830064+0.003919027308882238i,-0.0006632889915830064-0.003919027308882238i,-0.0004689353624629838+0.0002963660315878169i,-0.0004689353624629838-0.0002963660315878169i,-9.508188671370297e-05-0.0002118550982979539i,-9.508188671370297e-05+0.0002118550982979539i,2.747987798961022e-07+0i
0.2960133471164368-0.1032965364490804i,0.2960133471164368+0.1032965364490804i,-0.1455442537483659+0.2698610357873474i,-0.1455442537483659-0.2698610357873474i,0.2719685102502948+0.09019285285152283i,0.2719685102502948-0.09019285285152283i,-0.2084490917285354-0.04566558624737488i,-0.2084490917285354+0.04566558624737488i,-0.2266876006612294-0.07403494273331859i,-0.2266876006612294+0.07403494273331859i,0.2409426638268691+0i,0.004497510034401773+0.1445271113758865i,0.004497510034401773-0.1445271113758865i,0.0108425060306297-0.023876169765474i,0.0108425060306297+0.023876169765474i,0.009750481411180026+0i,-0.005005874579184267+0i,-0.0001656636905064666-0.0008905695915513691i,-0.0001656636905064666+0.0008905695915513691i,-4.980501929928019e-05-5.7953035604283e-05i,-4.980501929928019e-05+5.7953035604283e-05i,-3.365699158540722e-06-2.550724736438675e-05i,-3.365699158540722e-06+2.550724736438675e-05i,4.97429898863984e-09+0i
-0.4114573993317751+0.1787523679808123i,-0.4114573993317751-0.1787523679808123i,0.1336148117101581-0.4557045479290281i,0.1336148117101581+0.4557045479290281i,-0.5073461530144655+0i,-0.5073461530144655-0i,0.5885468803754244+0i,0.5885468803754244-0i,0.5153105914290764+0i,0.5153105914290764-0i,0.1948319972436851+0i,-0.03662916835914735-0.2342323561314681i,-0.03662916835914735+0.2342323561314681i,-0.01419426947456201+0.0461039350711709i,-0.01419426947456201-0.0461039350711709i,-0.02036416404637622+0i,0.01027275998666435+0i,0.000370981018343326+0.001750821260879911i,0.000370981018343326-0.001750821260879911i,9.583858539927852e-05+0.0001039651418919783i,9.583858539927852e-05-0.0001039651418919783i,6.627019700455762e-06+4.597782954648078e-05i,6.627019700455762e-06-4.597782954648078e-05i,-1.0384463719582e-08+0i
0.01396956756179003-0.00270704382863839i,0.01396956756179003+0.00270704382863839i,0.0006583366091003197+0.004575684836608742i,0.0006583366091003197-0.004575684836608742i,0.007889970718591044-0.02357511052022841i,0.007889970718591044+0.02357511052022841i,-0.05825094555317165+0.01821420026417576i,-0.05825094555317165-0.01821420026417576i,-0.03078832164208646+0.02650883421151249i,-0.03078832164208646-0.02650883421151249i,-0.05670104626002816+0i,0.002405913822622986+0.005752890322819169i,0.002405913822622986-0.005752890322819169i,-0.0001496689943617222-0.00192643083315924i,-0.0001496689943617222+0.00192643083315924i,0.001151566167644837+0i,-0.0005556651467531307+0i,-2.411712316103659e-05-8.466449753025711e-05i,-2.411712316103659e-05+8.466449753025711e-05i,-4.382317271069126e-06-3.857516735609722e-06i,-4.382317271069126e-06+3.857516735609722e-06i,-2.97664242663193e-07-1.822194032677766e-06i,-2.97664242663193e-07+1.822194032677766e-06i,4.355782793348145e-10+0i
0.3819318795137678-0.1217806201801829i,0.3819318795137678+0.1217806201801829i,-0.1736853799548343+0.328801672783707i,-0.1736853799548343-0.328801672783707i,0.3460120215443648+0.08937241353587715i,0.3460120215443648-0.08937241353587715i,-0.2920733266279502-0.05021284179807165i,-0.2920733266279502+0.05021284179807165i,-0.3044310567186803-0.07693230190666354i,-0.3044310567186803+0.07693230190666354i,0.2596891022547999+0i,0.006890795181263469+0.1811476432197645i,0.006890795181263469-0.1811476432197645i,0.0132133312464462-0.03075947540228262i,0.0132133312464462+0.03075947540228262i,0.01278659894881564+0i,-0.006542488548836592+0i,-0.0002199628413476519-0.001154563143246304i,-0.0002199628413476519+0.001154563143246304i,-6.433789417697642e-05-7.446527252058838e-05i,-6.433789417697642e-05+7.446527252058838e-05i,-4.48089799507033e-06-3.266382599671515e-05i,-4.48089799507033e-06+3.266382599671515e-05i,7.237210598865009e-09+0i
0.5062576828641238+0i,0.5062576828641238-0i,-0.4792611146165868+0i,-0.4792611146165868-0i,-0.2179555053254889+0.3822706838503898i,-0.2179555053254889-0.3822706838503898i,0.3086866664418242-0.03648840961408555i,0.3086866664418242+0.03648840961408555i,0.2818403425911979-0.160352158010582i,0.2818403425911979+0.160352158010582i,0.2409425449765448+0i,-0.1027818048680179+0.08490765740922346i,-0.1027818048680179-0.08490765740922346i,0.01383699855284065+0.007309604157041999i,0.01383699855284065-0.007309604157041999i,-0.004774243224257334+0i,0.002121207727606978+0i,0.0001376776851706841+0.0002297659104904648i,0.0001376776851706841-0.0002297659104904648i,8.855792446763143e-06-1.026317254640738e-05i,8.855792446763143e-06+1.026317254640738e-05i,5.615432335932697e-07-3.609497007549951e-06i,5.615432335932697e-07+3.609497007549951e-06i,1.310213168570751e-10+0i
