-0.3121984831387516+0.2070670237770644i,-0.3121984831387516-0.2070670237770644i,0.3328093060312353+0i,0.3447137429590002+0i,0.1574133573910264+0.3005216449123991i,0.1574133573910264-0.3005216449123991i,-0.1499901485374518+0.3109856360912132i,-0.1499901485374518-0.3109856360912132i,-0.3309411458215552+0.09785285628048369i,-0.3309411458215552-0.09785285628048369i,0.07054538256961654+0.3538560542059726i,0.07054538256961654-0.3538560542059726i,0.2784390824642873+0.1852336991762829i,0.2784390824642873-0.1852336991762829i,0.2545108254568561+0i,-0.02806862900211076-0.2270752247062949i,-0.02806862900211076+0.2270752247062949i,0.1533225979899448+0i,-0.09595712173090476+0.01099286900134155i,-0.09595712173090476-0.01099286900134155i,-0.0339292260991047+0i,0.02815567099830731+0i,-0.0153796866395147+0.01838239640616627i,-0.0153796866395147-0.01838239640616627i
0.06732143908784347-0.06355756114450646i,0.06732143908784347+0.06355756114450646i,0.2114149556626886+0i,0.1335829685792493+0i,-0.04059779613960871+0.1032808755793113i,-0.04059779613960871-0.1032808755793113i,-0.09560016917836719-0.03279187561772054i,-0.09560016917836719+0.03279187561772054i,0.001629988278603162-0.09191360627549044i,0.001629988278603162+0.09191360627549044i,-0.06327115436946562-0.06481332258015904i,-0.06327115436946562+0.06481332258015904i,-0.07756110278709727+0.02428254484508491i,-0.07756110278709727-0.02428254484508491i,-0.04927979033774412+0i,0.02767701247592167+0.03321539079630125i,0.02767701247592167-0.03321539079630125i,0.02227870666978536+0i,0.003177983300812581-0.01153308236040005i,0.003177983300812581+0.01153308236040005i,0.003375998677883185+0i,0.0009108703918768347+0i,-0.0008177505808975863-0.001139766966393425i,-0.0008177505808975863+0.001139766966393425i
-0.07153890879255814+0.09489114077510401i,-0.07153890879255814-0.09489114077510401i,-0.1051622449932427+0i,-0.113938325446916+0i,0.002009475868770365-0.1039594793989786i,0.002009475868770365+0.1039594793989786i,0.1013489562990086-0.0208168125020138i,0.1013489562990086+0.0208168125020138i,0.05277174739326077+0.08554034640617607i,0.05277174739326077-0.08554034640617607i,0.09951041617310824+0.03943848126484629i,0.09951041617310824-0.03943848126484629i,0.06233918486960643-0.06698392102751381i,0.06233918486960643+0.06698392102751381i,0.05191361455245487+0i,-0.03988048133567158-0.02054712040159013i,-0.03988048133567158+0.02054712040159013i,-0.02889267316793431+0i,0.004715360622438294+0.0119608480756419i,0.004715360622438294-0.0119608480756419i,-0.001785400091312145+0i,-0.002685187964573293+0i,0.001911348686428481-6.273133167726511e-05i,0.001911348686428481+6.273133167726511e-05i
-0.01519704200513009-0.00834539673980824i,-0.01519704200513009+0.00834539673980824i,0.01221652373242827+0i,0.0420255554219476+0i,0.01869293770968215+0.03652419039767053i,0.01869293770968215-0.03652419039767053i,-0.02111297546796265+0.04014386958730053i,-0.02111297546796265-0.04014386958730053i,-0.04801357524456674+0.005393267637668706i,-0.04801357524456674-0.005393267637668706i,-0.01889878623814687+0.03646283735768081i,-0.01889878623814687-0.03646283735768081i,0.02435544321993346+0.03646936752112429i,0.02435544321993346-0.03646936752112429i,0.01298159849145286+0i,0.006480611290356205-0.02100310286326269i,0.006480611290356205+0.02100310286326269i,0.01799527803259025+0i,-0.01076461112146126-0.000394338778549989i,-0.01076461112146126+0.000394338778549989i,-0.003051256226836654+0i,0.003129548294718868+0i,-0.001789785394204861+0.001874210318706762i,-0.001789785394204861-0.001874210318706762i
0.2070145468148763-0.2496316036862411i,0.2070145468148763+0.2496316036862411i,0.3328093532532754+0i,0.2870266831411094+0i,-0.01646797576369959+0.2668298441839638i,-0.01646797576369959-0.2668298441839638i,-0.2714547995700939+0.03034099025785022i,-0.2714547995700939-0.03034099025785022i,-0.1127897480812334-0.2451336386109338i,-0.1127897480812334+0.2451336386109338i,-0.2597125097383884-0.1386027791812111i,-0.2597125097383884+0.1386027791812111i,-0.1927597424725643+0.1591747788206015i,-0.1927597424725643-0.1591747788206015i,-0.1506411718679366+0i,0.1051038372908413+0.0720474236455573i,0.1051038372908413-0.0720474236455573i,0.06845078092432136+0i,-0.005716818428037526-0.03308655490657854i,-0.005716818428037526+0.03308655490657854i,0.006980426886733361+0i,0.00537709477822908+0i,-0.004115955812357209-0.001093360367458609i,-0.004115955812357209+0.001093360367458609i
-0.03991569559890659+0.06949961451174812i,-0.03991569559890659-0.06949961451174812i,0.211414985660183+0i,0.1112281630152622+0i,-0.06950443318039924+0.05307082037064705i,-0.06950443318039924-0.05307082037064705i,-0.0182490053264021-0.07784569096678891i,-0.0182490053264021+0.07784569096678891i,0.07130854074642454-0.009033639932474077i,0.07130854074642454+0.009033639932474077i,0.07362314444477568-0.006373299934026297i,0.07362314444477568+0.006373299934026297i,-0.0006012366611625859-0.06074973035970001i,-0.0006012366611625859+0.06074973035970001i,0.02916797488892062+0i,-0.02406859926120462-0.0007032722295343754i,-0.02406859926120462+0.0007032722295343754i,0.009946315086773478+0i,0.004065826871676357+0.0008744643635966703i,0.004065826871676357-0.0008744643635966703i,-0.0006945608447378346+0i,0.0001739555923955692+0i,0.0001219818610847633-0.0002173651322823428i,0.0001219818610847633+0.0002173651322823428i
0.03558170701463031-0.09652327761738326i,0.03558170701463031+0.09652327761738326i,-0.1051622599146277+0i,-0.09487100617154742+0i,0.04376479199010629-0.06927034108626821i,0.04376479199010629+0.06927034108626821i,0.05658425170750822+0.05914413870092126i,0.05658425170750822-0.05914413870092126i,-0.06028330494905276+0.05041775920485251i,-0.06028330494905276-0.05041775920485251i,-0.07636887705102695+0.04236283368132901i,-0.07636887705102695-0.04236283368132901i,0.03444785887913662+0.0590927281329757i,0.03444785887913662-0.0590927281329757i,-0.03072689626480301+0i,0.02328398044352162-0.00906164521917821i,0.02328398044352162+0.00906164521917821i,-0.01289911642030738+0i,-0.004057881579523617+0.0018736001139129i,-0.004057881579523617-0.0018736001139129i,0.0003673191591397014+0i,-0.0005128100191162773+0i,0.0001538490920161141+0.0003029781177141989i,0.0001538490920161141-0.0003029781177141989i
0.014680886835587+0.003119438924608497i,0.014680886835587-0.003119438924608497i,0.01221652546582076+0i,0.03499267443293994+0i,-0.002297055559948795+0.0322505610300754i,-0.002297055559948795-0.0322505610300754i,-0.03577778942068831+0.002743220530536107i,-0.03577778942068831-0.002743220530536107i,-0.009551363750117165-0.03655050295582863i,-0.009551363750117165+0.03655050295582863i,-0.013221261800133-0.03078879290539803i,-0.013221261800133+0.03078879290539803i,-0.03136264358354313+0.009540201251629589i,-0.03136264358354313-0.009540201251629589i,-0.007683615052370486+0i,0.006373392412181212+0.01045137775219433i,0.006373392412181212-0.01045137775219433i,0.008033980968427435+0i,-7.644322992311226e-05-0.003743949214466464i,-7.644322992311226e-05+0.003743949214466464i,0.0006277499799703921+0i,0.0005976727670513556+0i,-0.0004363251264444045-0.0001471691231909804i,-0.0004363251264444045+0.0001471691231909804i
-0.1092004017617087+0.2586269594129136i,-0.1092004017617087-0.2586269594129136i,0.3328094004753226+0i,0.238993421404686+0i,-0.1199553282833008+0.173180206619188i,-0.1199553282833008-0.173180206619188i,-0.1345286225099033-0.1691048020995707i,-0.1345286225099033+0.1691048020995707i,0.1770597428872501-0.1147373833563615i,0.1770597428872501+0.1147373833563615i,0.2218170042554252-0.0921043783335716i,0.2218170042554252+0.0921043783335716i,-0.07220855200960143-0.1723519597951078i,-0.07220855200960143+0.1723519597951078i,0.08916226891728821+0i,-0.06883164640301119+0.01728050877361027i,-0.06883164640301119-0.01728050877361027i,0.03055980964695607+0i,0.01137025676660988-0.002639803131901075i,0.01137025676660988+0.002639803131901075i,-0.001436117622568609+0i,0.001026903186068715+0i,-0.000133543122415127-0.0007448323753885099i,-0.000133543122415127+0.0007448323753885099i
0.01571656028421522-0.06757646203912836i,0.01571656028421522+0.06757646203912836i,0.2114150156576823+0i,0.09261438325058774+0i,-0.06851040274096926+0.007426516310043599i,-0.06851040274096926-0.007426516310043599i,0.04447770011960177-0.04497607174985953i,0.04447770011960177+0.04497607174985953i,0.01497761436470762+0.05416921605900089i,0.01497761436470762-0.05416921605900089i,-0.03407593551632084+0.04973861146469288i,-0.03407593551632084-0.04973861146469288i,0.0435989964930511+0.01270797631839899i,0.0435989964930511-0.01270797631839899i,-0.01726409047785701+0i,0.009171446137634928-0.009783556405734325i,0.009171446137634928+0.009783556405734325i,0.004440526340766348+0i,-0.0002229380108120333+0.001428477920116481i,-0.0002229380108120333-0.001428477920116481i,0.0001428954253454638+0i,3.322157399781617e-05+0i,4.416637053214463e-05+3.289311736762199e-06i,4.416637053214463e-05-3.289311736762199e-06i
-0.005371916829083973+0.08889118886236036i,-0.005371916829083973-0.08889118886236036i,-0.1051622748360132+0i,-0.07899455935215623+0i,0.05776513416636955-0.02884874757716118i,0.05776513416636955+0.02884874757716118i,-0.01582043701513246+0.06279218675655721i,-0.01582043701513246-0.06279218675655721i,-0.04576719114815244-0.04100218446459437i,-0.04576719114815244+0.04100218446459437i,0.01279486327759333-0.07009330598528321i,0.01279486327759333+0.07009330598528321i,-0.04973326320948215+0.01186905066691059i,-0.04973326320948215-0.01186905066691059i,0.01818679285207463+0i,-0.004807478614362244+0.01305807163341503i,-0.004807478614362244-0.01305807163341503i,-0.005758802706053914+0i,-0.0007306909911782392-0.001371265394379511i,-0.0007306909911782392+0.001371265394379511i,-7.557038073654217e-05+0i,-9.793508654630756e-05+0i,-3.720373637012062e-05+4.755384370168398e-05i,-3.720373637012062e-05-4.755384370168398e-05i
-0.01294724831758986+0.001082951814448318i,-0.01294724831758986-0.001082951814448318i,0.01221652719921238+0i,0.02913673006044753+0i,-0.01470521861809729+0.02080644303404671i,-0.01470521861809729-0.02080644303404671i,-0.01688958380912269-0.02281632532544055i,-0.01688958380912269+0.02281632532544055i,0.0272142392668041-0.01148509810468024i,0.0272142392668041+0.01148509810468024i,0.02626258549429609+0.007591757409075407i,0.02626258549429609-0.007591757409075407i,-4.369494091188866e-05-0.02450451551597428i,-4.369494091188866e-05+0.02450451551597428i,0.004547817459603699+0i,-0.006711890048394909-0.001195728831861851i,-0.006711890048394909+0.001195728831861851i,0.003586765932936308+0i,0.001297919072515632-0.0001007206810095619i,0.001297919072515632+0.0001007206810095619i,-0.0001291500968954168+0i,0.0001141419472803278+0i,-9.123681345678523e-06-8.130967587470399e-05i,-9.123681345678523e-06+8.130967587470399e-05i
